Nom;Prix;Adresse;Image_lien
Mouton;1 500 000 CFA;Dakar-Plateau, Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_1843864_uploaded_image1_1585119964.75.png)
Mouton;400 000 CFA;Dakar-Plateau, Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_1843866_uploaded_image1_1585119994.59.png)
Petit mouton;450 000 CFA;Dakar-Plateau, Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_1843870_uploaded_image1_1585120034.1.png)
Mouton;95 000 CFA;Dakar-Plateau, Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_1847816_uploaded_image1_1585163617.45.png)
Ladoum pur sang;Prix sur demande;Keur Massar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_1860713_uploaded_image1_1585413193.66.png)
Moutons Toulabire;150 000 CFA;Dakar-Plateau, Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_1863893_uploaded_image1_1585491707.63.png)
Ladoum jeune femelle;Prix sur demande;Guediawaye, Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_1869297_uploaded_image1_1585585673.13.png)
Mouton;170 000 CFA;Dakar Plateau, Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_1904199_uploaded_image1_1586204493.61.png)
Moutons;350 000 CFA;Thies, Sénégal;background-image:url(https://images.coinafrique.com/thumb_1905916_uploaded_image1_1586247542.22.png)
Mouton;300 000 CFA;Dakar-Plateau, Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_1909205_uploaded_image1_1586284053.48.png)
Mouton;200 000 CFA;Dakar-Plateau, Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_1909212_uploaded_image1_1586284198.32.png)
Mouton Ladoum;185 000 CFA;Dakar-Plateau, Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_1910059_uploaded_image1_1586295543.6.png)
Mouton;250 000 CFA;Mbour, Sénégal;background-image:url(https://images.coinafrique.com/thumb_1913304_uploaded_image1_1586356949.67.png)
Mouton jeune mâle;130 000 CFA;Dakar-Plateau, Dakar, Sénégal;background-image:url(https://images.coinafrique.com/thumb_1920256_uploaded_image1_1586464326.22.png)
